Date,Comp,Venue,Result,GF,GA,Opponent,Poss,Shots_For,SoT_For,SoT%_For,Venue_y,Shots_Against,SoT_Against,SoT%_Against
2025-08-17,Premier League,Away,W,1,0,Manchester Utd,39,9,3,33.3,Home,22,7,31.8
2025-08-23,Premier League,Home,W,5,0,Leeds United,68,18,5,27.8,Away,3,1,33.3
2025-08-31,Premier League,Away,L,0,1,Liverpool,47,11,1,9.1,Home,9,3,33.3
2025-09-13,Premier League,Home,W,3,0,Nottingham,54,16,5,31.3,Away,5,1,20.0
2025-09-21,Premier League,Home,D,1,1,Manchester City,67,12,3,25.0,Away,5,3,60.0
2025-09-28,Premier League,Away,W,2,1,Newcastle,64,20,7,35.0,Home,8,3,37.5
2025-10-04,Premier League,Home,W,2,0,West Ham,68,21,5,23.8,Away,4,0,0.0
2025-10-18,Premier League,Away,W,1,0,Fulham,63,16,5,31.3,Home,9,0,0.0
2025-10-26,Premier League,Home,W,1,0,Crystal Palace,60,10,3,30.0,Away,7,1,14.3
2025-11-01,Premier League,Away,W,2,0,Burnley,54,12,8,66.7,Home,3,0,0.0
2025-11-08,Premier League,Away,D,2,2,Sunderland,65,17,7,41.2,Home,6,2,33.3
2025-11-23,Premier League,Home,W,4,1,Tottenham,57,17,8,47.1,Away,3,2,66.7
2025-11-30,Premier League,Away,D,1,1,Chelsea,62,8,4,50.0,Home,11,4,36.4
2025-12-03,Premier League,Home,W,2,0,Brentford,62,15,7,46.7,Away,6,1,16.7
2025-12-06,Premier League,Away,L,1,2,Aston Villa,53,15,9,60.0,Home,15,6,40.0
2025-12-13,Premier League,Home,W,2,1,Wolves,69,16,2,12.5,Away,3,2,66.7
2025-12-20,Premier League,Away,W,1,0,Everton,65,13,2,15.4,Home,5,1,20.0
2025-12-27,Premier League,Home,W,2,1,Brighton,53,24,6,25.0,Away,8,3,37.5
2025-12-30,Premier League,Home,W,4,1,Aston Villa,47,22,7,31.8,Away,11,3,27.3
2026-01-03,Premier League,Away,W,3,2,Bournemouth,57,12,5,41.7,Home,15,3,20.0
2026-01-08,Premier League,Home,D,0,0,Liverpool,48,9,4,44.4,Away,8,0,0.0
2026-01-17,Premier League,Away,D,0,0,Nottingham,61,15,3,20.0,Home,6,0,0.0
2026-01-25,Premier League,Home,L,2,3,Manchester Utd,57,15,4,26.7,Away,10,3,30.0
2026-01-31,Premier League,Away,W,4,0,Leeds United,51,14,8,57.1,Home,3,1,33.3
2026-02-07,Premier League,Home,W,3,0,Sunderland,50,16,5,31.3,Away,5,3,60.0
2026-02-12,Premier League,Away,D,1,1,Brentford,60,7,2,28.6,Home,12,3,25.0
2026-02-18,Premier League,Away,D,2,2,Wolves,58,10,4,40.0,Home,5,2,40.0
2026-02-22,Premier League,Away,W,4,1,Tottenham,61,20,7,35.0,Home,6,5,83.3
2026-03-01,Premier League,Home,W,2,1,Chelsea,41,12,5,41.7,Away,9,3,33.3
2026-03-04,Premier League,Away,W,1,0,Brighton,40,7,2,28.6,Home,11,3,27.3
2026-03-14,Premier League,Home,W,2,0,Everton,65,25,7,28.0,Away,9,3,33.3
2026-04-11,Premier League,Home,L,1,2,Bournemouth,53,15,3,20.0,Away,8,3,37.5
2026-04-19,Premier League,Away,L,1,2,Manchester City,41,9,3,33.3,Home,15,5,33.3
2026-04-25,Premier League,Home,W,1,0,Newcastle,45,11,4,36.4,Away,13,3,23.1
2026-05-02,Premier League,Home,W,3,0,Fulham,54,18,9,50.0,Away,10,1,10.0
2026-05-10,Premier League,Away,W,1,0,West Ham,64,15,4,26.7,Home,9,3,33.3
2026-05-18,Premier League,Home,W,1,0,Burnley,61,13,3,23.1,Away,5,0,0.0
2026-05-24,Premier League,Away,W,2,1,Crystal Palace,61,17,7,41.2,Home,8,3,37.5
