Date,Comp,Venue,Result,GF,GA,Opponent,Poss,Shots_For,SoT_For,SoT%_For,Shots_Against,SoT_Against,SoT%_Against,XG_for,XG_against
2025-08-17,Premier League,0,3,1,0,Manchester Utd,39.0,9.0,3.0,33.3,22.0,7.0,31.8,1.3304,1.37653
2025-08-23,Premier League,1,3,5,0,Leeds United,68.0,18.0,5.0,27.8,3.0,1.0,33.3,2.73761,0.156761
2025-08-31,Premier League,0,0,0,1,Liverpool,47.0,11.0,1.0,9.1,9.0,3.0,33.3,0.485679,0.481404
2025-09-13,Premier League,1,3,3,0,Nottingham,54.0,16.0,5.0,31.3,5.0,1.0,20.0,2.8817,0.293681
2025-09-21,Premier League,1,1,1,1,Manchester City,67.0,12.0,3.0,25.0,5.0,3.0,60.0,0.718575,1.1227
2025-09-28,Premier League,0,3,2,1,Newcastle,64.0,20.0,7.0,35.0,8.0,3.0,37.5,2.07048,0.739851
2025-10-04,Premier League,1,3,2,0,West Ham,68.0,21.0,5.0,23.8,4.0,0.0,0.0,3.0585,0.864549
2025-10-18,Premier League,0,3,1,0,Fulham,63.0,16.0,5.0,31.3,9.0,0.0,0.0,2.07823,0.502332
2025-10-26,Premier League,1,3,1,0,Crystal Palace,60.0,10.0,3.0,30.0,7.0,1.0,14.3,0.856175,0.350534
2025-11-01,Premier League,0,3,2,0,Burnley,54.0,12.0,8.0,66.7,3.0,0.0,0.0,2.51649,0.679177
2025-11-08,Premier League,0,1,2,2,Sunderland,65.0,17.0,7.0,41.2,6.0,2.0,33.3,2.32943,1.20495
2025-11-23,Premier League,1,3,4,1,Tottenham,57.0,17.0,8.0,47.1,3.0,2.0,66.7,2.27827,0.0300672
2025-11-30,Premier League,0,1,1,1,Chelsea,62.0,8.0,4.0,50.0,11.0,4.0,36.4,1.22828,0.791914
2025-12-03,Premier League,1,3,2,0,Brentford,62.0,15.0,7.0,46.7,6.0,1.0,16.7,2.63126,0.588716
2025-12-06,Premier League,0,0,1,2,Aston Villa,53.0,15.0,9.0,60.0,15.0,6.0,40.0,1.85965,2.71986
2025-12-13,Premier League,1,3,2,1,Wolves,69.0,16.0,2.0,12.5,3.0,2.0,66.7,1.61796,0.61997
2025-12-20,Premier League,0,3,1,0,Everton,65.0,13.0,2.0,15.4,5.0,1.0,20.0,1.84723,0.213273
2025-12-27,Premier League,1,3,2,1,Brighton,53.0,24.0,6.0,25.0,8.0,3.0,37.5,2.54318,0.710064
2025-12-30,Premier League,1,3,4,1,Aston Villa,47.0,22.0,7.0,31.8,11.0,3.0,27.3,4.41335,2.94195
2026-01-03,Premier League,0,3,3,2,Bournemouth,57.0,12.0,5.0,41.7,15.0,3.0,20.0,1.28,0.947846
2026-01-08,Premier League,1,1,0,0,Liverpool,48.0,9.0,4.0,44.4,8.0,0.0,0.0,0.701832,0.318642
2026-01-17,Premier League,0,1,0,0,Nottingham,61.0,15.0,3.0,20.0,6.0,0.0,0.0,2.86323,0.318481
2026-01-25,Premier League,1,0,2,3,Manchester Utd,57.0,15.0,4.0,26.7,10.0,3.0,30.0,1.42411,0.640902
2026-01-31,Premier League,0,3,4,0,Leeds United,51.0,14.0,8.0,57.1,3.0,1.0,33.3,3.54427,0.17871
2026-02-07,Premier League,1,3,3,0,Sunderland,50.0,16.0,5.0,31.3,5.0,3.0,60.0,1.19401,0.427225
2026-02-12,Premier League,0,1,1,1,Brentford,60.0,7.0,2.0,28.6,12.0,3.0,25.0,0.78418,1.81154
2026-02-18,Premier League,0,1,2,2,Wolves,58.0,10.0,4.0,40.0,5.0,2.0,40.0,2.01018,0.173119
2026-02-22,Premier League,0,3,4,1,Tottenham,61.0,20.0,7.0,35.0,6.0,5.0,83.3,3.31701,0.383264
2026-03-01,Premier League,1,3,2,1,Chelsea,41.0,12.0,5.0,41.7,9.0,3.0,33.3,1.71598,1.35268
2026-03-04,Premier League,0,3,1,0,Brighton,40.0,7.0,2.0,28.6,11.0,3.0,27.3,0.514803,0.919228
2026-03-14,Premier League,1,3,2,0,Everton,65.0,25.0,7.0,28.0,9.0,3.0,33.3,1.90855,1.17847
2026-04-11,Premier League,1,0,1,2,Bournemouth,53.0,15.0,3.0,20.0,8.0,3.0,37.5,3.16346,1.39461
2026-04-19,Premier League,0,0,1,2,Manchester City,41.0,9.0,3.0,33.3,15.0,5.0,33.3,2.28964,2.61528
2026-04-25,Premier League,1,3,1,0,Newcastle,45.0,11.0,4.0,36.4,13.0,3.0,23.1,0.639189,0.868897
2026-05-02,Premier League,1,3,3,0,Fulham,54.0,18.0,9.0,50.0,10.0,1.0,10.0,4.09079,0.696714
2026-05-10,Premier League,0,3,1,0,West Ham,64.0,15.0,4.0,26.7,9.0,3.0,33.3,1.42953,1.32011
2026-05-18,Premier League,1,3,1,0,Burnley,61.0,13.0,3.0,23.1,5.0,0.0,0.0,1.22695,0.194884
2026-05-24,Premier League,0,3,2,1,Crystal Palace,61.0,17.0,7.0,41.2,8.0,3.0,37.5,3.90645,1.00492
2026-08-21,Premier League,1,3,3.0,0.0,Coventry City,65.0,20.0,6.0,30.0,4.0,1.0,25.0,1.85424,0.558336
