Date,Comp,Venue,Result,GF,GA,Opponent,Poss,Shots_For,SoT_For,SoT%_For,Shots_Against,SoT_Against,SoT%_Against,XG_for,XG_against,Poss_last3,Poss_last5,Shots_For_last3,Shots_For_last5,ShotsT_For_last3,ShotsT_For_last5,Shots_Against_last3,Shots_Against_last5,ShotsT_Against_last3,ShotsT_Against_last5,XG_for_last3,XG_for_last5,XG_against_last3,XG_against_last5,GF_last3,GF_last5,GA_last3,GA_last5,Result_last3,Result_last5,Home_Poss_last3,Away_Poss_last3,Home_XG_for_last3,Away_XG_for_last3,Home_XG_against_last3,Away_XG_against_last3,Home_Result_last3,Away_Result_last3,XG_Diff_last3,XG_Diff_last5,Goal_Diff_last3,Goal_Diff_last5,Home_XG_Diff_last3,Away_XG_Diff_last3,Home_Goal_Diff_last3,Away_Goal_Diff_last3
2025-08-16,Premier League,1,1,0.0,0.0,Newcastle,41.0,3.0,3.0,100.0,16.0,3.0,18.8,0.318601,1.40098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-23,Premier League,0,0,0.0,1.0,Brentford,76.0,17.0,2.0,11.8,9.0,2.0,22.2,0.976852,1.12964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-31,Premier League,1,0,0.0,3.0,Crystal Palace,58.0,13.0,4.0,30.8,6.0,4.0,66.7,1.20586,2.59713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-13,Premier League,0,1,0.0,0.0,Everton,52.0,7.0,1.0,14.3,20.0,2.0,10.0,0.354327,1.8927,58.3333,,11.0,,3.0,,10.3333,,3.0,,0.8338,,1.7092,,0.0,,1.3333,,0.3333,,,,,,,,,,-0.8755,,-1.3333,,,,,
2025-09-21,Premier League,0,1,1.0,1.0,Sunderland,71.0,12.0,2.0,16.7,14.0,4.0,28.6,0.939354,0.938312,62.0,,12.3333,,2.3333,,11.6667,,2.6667,,0.8457,,1.8732,,0.0,,1.3333,,0.3333,,,,,,,,,,-1.0275,,-1.3333,,,,,
2025-09-28,Premier League,1,3,3.0,1.0,Fulham,48.0,9.0,4.0,44.4,11.0,4.0,36.4,1.36575,0.952612,60.3333,59.6,10.6667,10.4,2.3333,2.4,13.3333,3.0,3.3333,13.0,0.8332,0.759,1.8094,1.5918,0.3333,0.2,1.3333,1.0,0.6667,0.6,,,,,,,,,-0.9762,-0.8328,-1.0,-0.8,,,,
2025-10-05,Premier League,1,3,2.0,1.0,Burnley,55.0,15.0,7.0,46.7,5.0,2.0,40.0,1.73572,0.502292,57.0,61.0,9.3333,11.6,2.3333,2.6,15.0,3.2,3.3333,12.0,0.8865,0.9684,1.2612,1.5021,1.3333,0.8,0.6667,1.2,1.6667,1.0,49.0,,0.9634,,1.6502,,1.3333,,-0.3747,-0.5337,0.6667,-0.4,-0.6868,,-0.3333,
2025-10-19,Premier League,0,3,2.0,1.0,Tottenham,47.0,8.0,2.0,25.0,9.0,3.0,33.3,0.352231,1.51461,58.0,56.8,12.0,11.2,4.3333,3.6,10.0,3.2,3.3333,11.2,1.3469,1.1202,0.7977,1.3766,2.0,1.2,1.0,1.2,2.3333,1.6,,66.3333,,0.7568,,1.3202,,0.6667,0.5492,-0.2564,1.0,0.0,,-0.5634,,-0.3333
2025-10-26,Premier League,1,3,1.0,0.0,Manchester City,47.0,9.0,3.0,33.3,18.0,4.0,22.2,0.843906,1.36914,50.0,54.6,10.6667,10.2,4.3333,3.2,8.3333,3.0,3.0,11.8,1.1512,0.9495,0.9898,1.1601,2.3333,1.6,1.0,0.8,3.0,2.2,53.6667,,1.4358,,1.3507,,2.0,,0.1614,-0.2106,1.3333,0.8,0.0851,,0.0,
2025-11-01,Premier League,0,0,0.0,2.0,Liverpool,46.0,10.0,3.0,30.0,16.0,4.0,25.0,0.43502,1.47021,49.6667,53.6,10.6667,10.6,4.0,3.6,10.6667,3.4,3.0,11.4,0.9773,1.0474,1.1287,1.0554,1.6667,1.8,0.6667,0.8,3.0,2.6,,56.6667,,0.5486,,1.4485,,1.6667,-0.1514,-0.008,1.0,1.0,,-0.8999,,0.3333
2025-11-09,Premier League,1,3,4.0,0.0,Bournemouth,52.0,16.0,8.0,50.0,13.0,4.0,30.8,1.88282,2.00992,46.6667,48.6,9.0,10.2,2.6667,3.8,14.3333,3.4,3.6667,11.8,0.5437,0.9465,1.4513,1.1618,1.0,1.6,1.0,1.0,2.0,2.4,50.0,,1.3151,,0.9413,,3.0,,-0.9076,-0.2152,0.0,0.6,0.3738,,1.3333,
2025-11-23,Premier League,0,3,2.0,1.0,Leeds United,53.0,14.0,3.0,21.4,14.0,5.0,35.7,1.35978,1.84668,48.3333,49.4,11.6667,11.6,4.6667,4.6,15.6667,3.4,4.0,12.2,1.0539,1.0499,1.6164,1.3732,1.6667,1.8,0.6667,0.8,2.0,2.4,,54.6667,,0.5755,,1.3077,,1.3333,-0.5625,-0.3233,1.0,1.0,,-0.7322,,-0.3333
