Date,Comp,Venue,Result,GF,GA,Opponent,Poss,Shots_For,SoT_For,SoT%_For,Shots_Against,SoT_Against,SoT%_Against,XG_for,XG_against,Poss_last3,Poss_last5,Shots_For_last3,Shots_For_last5,ShotsT_For_last3,ShotsT_For_last5,Shots_Against_last3,Shots_Against_last5,ShotsT_Against_last3,ShotsT_Against_last5,XG_for_last3,XG_for_last5,XG_against_last3,XG_against_last5,GF_last3,GF_last5,GA_last3,GA_last5,Result_last3,Result_last5,Home_Poss_last3,Away_Poss_last3,Home_XG_for_last3,Away_XG_for_last3,Home_XG_against_last3,Away_XG_against_last3,Home_Result_last3,Away_Result_last3,XG_Diff_last3,XG_Diff_last5,Goal_Diff_last3,Goal_Diff_last5,Home_XG_Diff_last3,Away_XG_Diff_last3,Home_Goal_Diff_last3,Away_Goal_Diff_last3
2025-08-17,Premier League,1,1,0.0,0.0,Crystal Palace,71.0,19.0,3.0,15.8,12.0,4.0,33.3,1.36793,1.03414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-22,Premier League,0,3,5.0,1.0,West Ham,60.0,12.0,7.0,58.3,12.0,4.0,33.3,3.94997,0.978572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-30,Premier League,1,3,2.0,0.0,Fulham,55.0,13.0,6.0,46.2,11.0,3.0,27.3,2.4324,0.736228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-13,Premier League,0,1,2.0,2.0,Brentford,66.0,16.0,6.0,37.5,7.0,4.0,57.1,0.755999,1.17533,62.0,,14.6667,,5.3333,,11.6667,,3.6667,,2.5834,,0.9163,,2.3333,,0.3333,,2.3333,,,,,,,,,,1.6671,,2.0,,,,,
2025-09-20,Premier League,0,0,1.0,2.0,Manchester Utd,59.0,5.0,1.0,20.0,11.0,4.0,36.4,0.469843,1.34458,60.3333,,13.6667,,6.3333,,10.0,,3.6667,,2.3795,,0.9634,,3.0,,1.0,,2.3333,,,,,,,,,,1.4161,,2.0,,,,,
2025-09-27,Premier League,1,0,1.0,3.0,Brighton,59.0,13.0,3.0,23.1,12.0,3.0,25.0,2.02653,2.4751,60.0,62.2,11.3333,13.0,4.3333,4.6,9.6667,3.8,3.6667,10.6,1.2194,1.7952,1.0854,1.0538,1.6667,2.0,1.3333,1.0,1.3333,1.6,,,,,,,,,0.134,0.7415,0.3333,1.0,,,,
2025-10-04,Premier League,1,3,2.0,1.0,Liverpool,53.0,12.0,6.0,50.0,12.0,2.0,16.7,1.23721,2.05981,61.3333,59.8,11.3333,11.8,3.3333,4.6,10.0,3.6,3.6667,10.6,1.0841,1.9269,1.665,1.342,1.3333,2.2,2.3333,1.6,0.3333,1.4,61.6667,,1.9423,,1.4152,,1.3333,,-0.5809,0.585,-1.0,0.6,0.5271,,0.0,
2025-10-18,Premier League,0,3,3.0,0.0,Nottingham,50.0,17.0,6.0,35.3,12.0,2.0,16.7,2.5583,2.0555,57.0,58.4,10.0,11.8,3.3333,4.4,11.6667,3.2,3.0,10.6,1.2445,1.3844,1.9598,1.5582,1.3333,1.6,2.0,1.6,1.0,1.4,,61.6667,,1.7253,,1.1662,,1.3333,-0.7153,-0.1738,-0.6667,0.0,,0.5591,,1.0
2025-10-25,Premier League,1,0,1.0,2.0,Sunderland,69.0,16.0,7.0,43.8,10.0,4.0,40.0,1.21332,1.5506,54.0,57.4,14.0,12.6,5.0,4.4,12.0,3.0,2.3333,10.8,1.9407,1.4096,2.1968,1.8221,2.0,1.8,1.3333,1.6,2.0,1.4,55.6667,,1.8987,,1.757,,2.0,,-0.2561,-0.4125,0.6667,0.2,0.1417,,0.3333,
2025-11-01,Premier League,0,3,1.0,0.0,Tottenham,52.0,15.0,9.0,60.0,3.0,1.0,33.3,3.34251,0.146954,57.3333,58.0,15.0,12.6,6.3333,4.6,11.3333,3.0,2.6667,11.4,1.6696,1.501,1.8886,1.8971,2.0,1.6,1.0,1.6,2.0,1.2,,58.3333,,1.2614,,1.5251,,1.3333,-0.219,-0.3961,1.0,0.0,,-0.2638,,0.6667
