Date,Comp,Venue,Result,GF,GA,Opponent,Poss,Shots_For,SoT_For,SoT%_For,Shots_Against,SoT_Against,SoT%_Against,XG_for,XG_against,Poss_last3,Poss_last5,Shots_For_last3,Shots_For_last5,ShotsT_For_last3,ShotsT_For_last5,Shots_Against_last3,Shots_Against_last5,ShotsT_Against_last3,ShotsT_Against_last5,XG_for_last3,XG_for_last5,XG_against_last3,XG_against_last5,GF_last3,GF_last5,GA_last3,GA_last5,Result_last3,Result_last5,Home_Poss_last3,Away_Poss_last3,Home_XG_for_last3,Away_XG_for_last3,Home_XG_against_last3,Away_XG_against_last3,Home_Result_last3,Away_Result_last3,XG_Diff_last3,XG_Diff_last5,Goal_Diff_last3,Goal_Diff_last5,Home_XG_Diff_last3,Away_XG_Diff_last3,Home_Goal_Diff_last3,Away_Goal_Diff_last3
2025-08-17,Premier League,0,1,0.0,0.0,Chelsea,29.0,12.0,4.0,33.3,19.0,3.0,15.8,1.03414,1.36793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-24,Premier League,1,1,1.0,1.0,Nottingham,42.0,8.0,4.0,50.0,9.0,1.0,11.1,1.10188,1.32987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-31,Premier League,0,3,3.0,0.0,Aston Villa,42.0,6.0,4.0,66.7,13.0,4.0,30.8,2.59713,1.20586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-13,Premier League,1,1,0.0,0.0,Sunderland,56.0,14.0,6.0,42.9,6.0,0.0,0.0,1.75805,0.354129,37.6667,,8.6667,,4.0,,13.6667,,2.6667,,1.5777,,1.3012,,1.3333,,0.3333,,1.6667,,,,,,,,,,0.2765,,1.0,,,,,
2025-09-20,Premier League,0,3,2.0,1.0,West Ham,43.0,18.0,3.0,16.7,8.0,3.0,37.5,2.33565,0.466365,46.6667,,9.3333,,4.6667,,9.3333,,1.6667,,1.819,,0.9633,,1.3333,,0.3333,,1.6667,,,,,,,,,,0.8557,,1.0,,,,,
2025-09-27,Premier League,1,3,2.0,1.0,Liverpool,28.0,16.0,7.0,43.8,20.0,4.0,20.0,3.53323,3.10176,47.0,42.4,12.6667,11.6,4.3333,4.2,9.0,2.2,2.3333,11.0,2.2303,1.7654,0.6755,0.9448,1.6667,1.2,0.3333,0.4,2.3333,1.8,,,,,,,,,1.5548,0.8205,1.3333,0.8,,,,
2025-10-05,Premier League,0,0,1.0,2.0,Everton,50.0,15.0,8.0,53.3,14.0,7.0,50.0,2.17789,2.13876,42.3333,42.2,16.0,12.4,5.3333,4.8,11.3333,2.4,2.3333,11.2,2.5423,2.2652,1.3074,1.2916,1.3333,1.6,0.6667,0.6,2.3333,2.2,,38.0,,1.989,,1.0134,,2.3333,1.2349,0.9736,0.6667,1.0,,0.9756,,1.3333
2025-10-18,Premier League,1,1,3.0,3.0,Bournemouth,52.0,20.0,7.0,35.0,8.0,5.0,62.5,4.56284,2.0471,40.3333,43.8,16.3333,13.8,6.0,5.6,14.0,3.6,4.6667,12.2,2.6823,2.4804,1.9023,1.4534,1.6667,1.6,1.3333,0.8,2.0,2.0,42.0,,2.1311,,1.5953,,1.6667,,0.78,1.027,0.3333,0.8,0.5358,,0.3333,
2025-10-26,Premier League,0,0,0.0,1.0,Arsenal,40.0,7.0,1.0,14.3,10.0,3.0,30.0,0.350534,0.856175,43.3333,45.8,17.0,16.6,7.3333,6.2,14.0,3.8,5.3333,11.2,3.4247,2.8735,2.4292,1.6216,2.0,1.6,2.0,1.4,1.3333,1.6,,45.0,,2.3702,,1.2703,,2.0,0.9954,1.2519,0.0,0.2,,1.0999,,1.0
2025-11-01,Premier League,1,3,2.0,0.0,Brentford,36.0,9.0,2.0,22.2,6.0,2.0,33.3,0.734558,0.820498,47.3333,42.6,14.0,15.2,5.3333,5.2,10.6667,4.4,5.0,12.0,2.3638,2.592,1.6807,1.722,1.3333,1.6,2.0,1.6,0.3333,1.4,45.3333,,3.2847,,1.8343,,1.6667,,0.6831,0.87,-0.6667,0.0,1.4504,,0.3333,
2025-11-09,Premier League,1,1,0.0,0.0,Brighton,42.0,10.0,2.0,20.0,7.0,3.0,42.9,0.839547,0.637037,42.6667,41.2,12.0,13.4,3.3333,5.0,8.0,4.2,3.3333,11.6,1.8826,2.2718,1.2413,1.7929,1.6667,1.6,1.3333,1.4,1.3333,1.4,38.6667,,2.9435,,1.9898,,2.3333,,0.6414,0.479,0.3333,0.2,0.9538,,1.0,
2025-11-22,Premier League,0,3,2.0,0.0,Wolves,52.0,10.0,4.0,40.0,8.0,1.0,12.5,1.44933,1.66409,39.3333,44.0,8.6667,12.2,1.6667,4.0,7.6667,4.0,2.6667,9.0,0.6415,1.7331,0.7712,1.2999,0.6667,1.2,0.3333,1.2,1.3333,1.0,,44.3333,,1.6214,,1.1538,,1.0,-0.1297,0.4332,0.3333,0.0,,0.4676,,-0.3333
2025-11-30,Premier League,1,0,1.0,2.0,Manchester Utd,43.0,14.0,3.0,21.4,14.0,6.0,42.9,2.13561,1.47768,43.3333,44.4,9.6667,11.2,2.6667,3.2,7.0,2.8,2.0,7.8,1.0078,1.5874,1.0405,1.205,1.3333,1.4,0.0,0.8,2.3333,1.6,43.3333,,2.0456,,1.1682,,1.6667,,-0.0327,0.3824,1.3333,0.6,0.8774,,0.6667,
2025-12-03,Premier League,0,3,1.0,0.0,Burnley,42.0,3.0,3.0,100.0,11.0,4.0,36.4,0.987797,1.16852,45.6667,42.6,11.3333,10.0,3.0,2.4,9.6667,3.0,3.3333,9.0,1.4748,1.1019,1.2596,1.0911,1.0,1.0,0.6667,0.6,1.3333,1.4,,47.3333,,1.3259,,1.553,,1.0,0.2152,0.0108,0.3333,0.4,,-0.2271,,0.0
2025-12-07,Premier League,0,3,2.0,1.0,Fulham,37.0,11.0,5.0,45.5,12.0,4.0,33.3,1.71109,0.766771,45.6667,43.0,9.0,9.2,3.3333,2.8,11.0,3.2,3.6667,9.2,1.5242,1.2294,1.4368,1.1536,1.3333,1.2,0.6667,0.4,2.0,2.0,,44.6667,,0.9292,,1.2296,,2.0,0.0875,0.0758,0.6667,0.8,,-0.3004,,0.6667
2025-12-14,Premier League,1,0,0.0,3.0,Manchester City,38.0,16.0,4.0,25.0,7.0,6.0,85.7,1.30092,1.35317,40.6667,43.2,9.3333,9.6,3.6667,3.4,12.3333,3.6,4.6667,10.4,1.6115,1.4247,1.1377,1.1428,1.3333,1.2,1.0,0.6,2.0,2.0,40.3333,,1.2366,,0.9784,,1.3333,,0.4738,0.2819,0.3333,0.6,0.2582,,0.3333,
2025-12-20,Premier League,0,0,1.0,4.0,Leeds United,47.0,9.0,3.0,33.3,20.0,8.0,40.0,1.53058,2.90786,39.0,42.4,10.0,10.8,4.0,3.8,10.0,4.2,4.6667,10.4,1.3333,1.5169,1.0962,1.286,1.0,1.2,1.3333,1.2,2.0,1.8,,43.6667,,1.3827,,1.1998,,3.0,0.2371,0.2309,-0.3333,0.0,,0.1829,,1.3333
2025-12-28,Premier League,1,0,0.0,1.0,Tottenham,62.0,15.0,2.0,13.3,8.0,4.0,50.0,0.929681,0.870768,40.6667,41.4,12.0,10.6,4.0,3.6,13.0,5.6,6.0,12.8,1.5142,1.5332,1.6759,1.5348,1.0,1.0,2.6667,2.0,1.0,1.2,41.0,,1.4254,,1.156,,0.3333,,-0.1617,-0.0016,-1.6667,-1.0,0.2694,,-1.3333,
2026-01-01,Premier League,1,1,1.0,1.0,Fulham,40.0,11.0,2.0,18.2,17.0,5.0,29.4,2.35346,1.75434,49.0,45.2,13.3333,10.8,3.0,3.4,11.6667,5.2,6.0,11.6,1.2537,1.292,1.7106,1.4134,0.3333,0.8,2.6667,1.8,0.0,1.2,47.6667,,1.4554,,1.2339,,0.0,,-0.4569,-0.1214,-2.3333,-1.0,0.2215,,-1.6667,
