Date,Comp,Venue,Result,GF,GA,Opponent,Poss,Shots_For,SoT_For,SoT%_For,Shots_Against,SoT_Against,SoT%_Against,XG_for,XG_against,Poss_last3,Poss_last5,Shots_For_last3,Shots_For_last5,ShotsT_For_last3,ShotsT_For_last5,Shots_Against_last3,Shots_Against_last5,ShotsT_Against_last3,ShotsT_Against_last5,XG_for_last3,XG_for_last5,XG_against_last3,XG_against_last5,GF_last3,GF_last5,GA_last3,GA_last5,Result_last3,Result_last5,Home_Poss_last3,Away_Poss_last3,Home_XG_for_last3,Away_XG_for_last3,Home_XG_against_last3,Away_XG_against_last3,Home_Result_last3,Away_Result_last3,XG_Diff_last3,XG_Diff_last5,Goal_Diff_last3,Goal_Diff_last5,Home_XG_Diff_last3,Away_XG_Diff_last3,Home_Goal_Diff_last3,Away_Goal_Diff_last3
2025-08-18,Premier League,0,0,0.0,1.0,Leeds United,46.0,7.0,1.0,14.3,21.0,3.0,14.3,0.674338,2.3812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-24,Premier League,1,3,2.0,0.0,Brighton,43.0,11.0,3.0,27.3,13.0,4.0,30.8,1.80116,2.08487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-30,Premier League,0,3,3.0,2.0,Wolves,42.0,10.0,4.0,40.0,12.0,4.0,33.3,2.03791,0.943257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-13,Premier League,1,1,0.0,0.0,Aston Villa,48.0,20.0,2.0,10.0,7.0,1.0,14.3,1.8927,0.354327,43.6667,,9.3333,,2.6667,,15.3333,,3.6667,,1.5045,,1.8031,,1.6667,,1.0,,2.0,,,,,,,,,,-0.2986,,0.6667,,,,,
2025-09-20,Premier League,0,0,1.0,2.0,Liverpool,43.0,9.0,2.0,22.2,11.0,3.0,27.3,0.721371,1.06166,44.3333,,13.6667,,3.0,,10.6667,,3.0,,1.9106,,1.1275,,1.6667,,0.6667,,2.3333,,,,,,,,,,0.7831,,1.0,,,,,
2025-09-29,Premier League,1,1,1.0,1.0,West Ham,52.0,12.0,6.0,50.0,14.0,3.0,21.4,0.909703,0.775766,44.3333,44.4,13.0,11.4,2.6667,2.4,10.0,3.0,2.6667,12.8,1.5507,1.4255,0.7864,1.3651,1.3333,1.2,1.3333,1.0,1.3333,1.4,,,,,,,,,0.7642,0.0604,0.0,0.2,,,,
2025-10-05,Premier League,1,3,2.0,1.0,Crystal Palace,50.0,14.0,7.0,50.0,15.0,8.0,53.3,2.13876,2.17789,47.6667,45.6,13.6667,12.4,3.3333,3.4,10.6667,3.0,2.3333,11.4,1.1746,1.4726,0.7306,1.044,0.6667,1.4,1.0,1.0,0.6667,1.6,47.6667,,1.5345,,1.0717,,1.6667,,0.444,0.4286,-0.3333,0.4,0.4629,,0.6667,
2025-10-18,Premier League,0,0,0.0,2.0,Manchester City,29.0,5.0,1.0,20.0,19.0,7.0,36.8,0.794622,2.4799,48.3333,47.0,11.6667,13.0,5.0,4.2,13.3333,3.8,4.6667,11.8,1.2566,1.5401,1.3384,1.0626,1.3333,1.4,1.3333,1.2,1.3333,1.6,,43.6667,,1.1445,,1.462,,1.0,-0.0818,0.4775,0.0,0.2,,-0.3175,,-0.3333
2025-10-26,Premier League,1,0,0.0,3.0,Tottenham,53.0,12.0,2.0,16.7,7.0,4.0,57.1,1.4032,2.09327,43.6667,44.4,10.3333,12.0,4.6667,3.6,16.0,4.4,6.0,13.2,1.281,1.2914,1.8112,1.3699,1.0,0.8,1.3333,1.2,1.3333,1.0,50.0,,1.6471,,1.1027,,1.6667,,-0.5302,-0.0785,-0.3333,-0.4,0.5444,,0.3333,
2025-11-03,Premier League,0,1,1.0,1.0,Sunderland,39.0,8.0,2.0,25.0,17.0,3.0,17.6,1.00741,1.18068,44.0,45.4,10.3333,10.4,3.3333,3.6,13.6667,5.0,6.3333,13.2,1.4455,1.1935,2.2504,1.7177,0.6667,0.8,2.0,1.8,1.0,0.8,,38.0,,1.1846,,1.4949,,1.0,-0.8048,-0.5242,-1.3333,-1.0,,-0.3103,,-0.6667
