Date,Comp,Venue,Result,GF,GA,Opponent,Poss,Shots_For,SoT_For,SoT%_For,Shots_Against,SoT_Against,SoT%_Against,XG_for,XG_against
2025-08-16,Premier League,0,1,1,1,Brighton,50.0,7.0,2.0,28.6,10.0,4.0,40.0,0.902883,1.44008
2025-08-24,Premier League,1,1,1,1,Manchester Utd,52.0,13.0,4.0,30.8,10.0,3.0,30.0,1.65333,1.54603
2025-08-30,Premier League,0,0,0,2,Chelsea,45.0,11.0,3.0,27.3,13.0,6.0,46.2,0.736228,2.4324
2025-09-13,Premier League,1,3,1,0,Leeds United,54.0,5.0,3.0,60.0,10.0,3.0,30.0,1.13979,0.830398
2025-09-20,Premier League,1,3,3,1,Brentford,53.0,14.0,3.0,21.4,8.0,3.0,37.5,1.52431,0.826556
2025-09-28,Premier League,0,0,1,3,Aston Villa,52.0,11.0,4.0,36.4,9.0,4.0,44.4,0.952612,1.36575
2025-10-03,Premier League,0,0,1,3,Bournemouth,47.0,12.0,4.0,33.3,11.0,6.0,54.5,0.84335,1.33458
2025-10-18,Premier League,1,0,0,1,Arsenal,37.0,9.0,0.0,0.0,16.0,5.0,31.3,0.502332,2.07823
2025-10-25,Premier League,0,0,1,2,Newcastle,49.0,12.0,5.0,41.7,18.0,7.0,38.9,1.52001,2.76806
2025-11-01,Premier League,1,3,3,0,Wolves,64.0,19.0,6.0,31.6,5.0,2.0,40.0,1.91207,0.209934
2025-11-08,Premier League,0,0,0,2,Everton,50.0,8.0,4.0,50.0,14.0,5.0,35.7,0.424478,2.30607
2025-11-22,Premier League,1,3,1,0,Sunderland,57.0,24.0,6.0,25.0,4.0,2.0,50.0,2.83729,0.222768
2025-11-29,Premier League,0,3,2,1,Tottenham,37.0,7.0,3.0,42.9,14.0,2.0,14.3,0.494736,1.04396
2025-12-02,Premier League,1,0,4,5,Manchester City,57.0,12.0,6.0,50.0,11.0,4.0,36.4,0.972635,1.96225
2025-12-07,Premier League,1,0,1,2,Crystal Palace,63.0,12.0,4.0,33.3,11.0,5.0,45.5,0.766771,1.71109
2025-12-13,Premier League,0,3,3,2,Burnley,47.0,6.0,4.0,66.7,16.0,8.0,50.0,1.65053,2.05486
2025-12-22,Premier League,1,3,1,0,Nottingham,50.0,11.0,1.0,9.1,12.0,2.0,16.7,1.70568,0.486296
2025-12-27,Premier League,0,3,1,0,West Ham,56.0,15.0,4.0,26.7,11.0,2.0,18.2,1.11436,1.13719
2026-01-01,Premier League,0,1,1,1,Crystal Palace,60.0,17.0,5.0,29.4,11.0,2.0,18.2,1.75434,2.35346
2026-01-04,Premier League,1,1,2,2,Liverpool,42.0,8.0,2.0,25.0,10.0,2.0,20.0,0.609182,1.7188
2026-01-07,Premier League,1,3,2,1,Chelsea,55.0,16.0,5.0,31.3,14.0,6.0,42.9,1.06013,2.45107
2026-01-17,Premier League,0,0,0,1,Leeds United,53.0,8.0,1.0,12.5,14.0,5.0,35.7,0.258796,2.16898
2026-01-24,Premier League,1,3,2,1,Brighton,50.0,12.0,4.0,33.3,13.0,5.0,38.5,1.13243,1.94652
2026-02-01,Premier League,0,0,2,3,Manchester Utd,58.0,14.0,6.0,42.9,13.0,6.0,46.2,1.71998,1.84362
2026-02-07,Premier League,1,0,1,2,Everton,55.0,13.0,3.0,23.1,16.0,3.0,18.8,2.20126,1.88778
2026-02-11,Premier League,0,0,0,3,Manchester City,44.0,14.0,3.0,21.4,13.0,5.0,38.5,1.05283,1.67722
2026-02-22,Premier League,0,3,3,1,Sunderland,47.0,12.0,4.0,33.3,12.0,2.0,16.7,2.16696,1.7609
2026-03-01,Premier League,1,3,2,1,Tottenham,54.0,18.0,4.0,22.2,13.0,1.0,7.7,2.3207,0.952091
2026-03-04,Premier League,1,0,0,1,West Ham,60.0,13.0,5.0,38.5,9.0,3.0,33.3,0.628123,1.49528
2026-03-15,Premier League,0,1,0,0,Nottingham,54.0,5.0,0.0,0.0,11.0,2.0,18.2,0.933988,0.821011
2026-03-21,Premier League,1,3,3,1,Burnley,55.0,22.0,6.0,27.3,9.0,5.0,55.6,3.48438,1.92556
2026-04-11,Premier League,0,0,0,2,Liverpool,47.0,19.0,4.0,21.1,18.0,5.0,27.8,1.42024,2.01499
2026-04-18,Premier League,0,1,0,0,Brentford,52.0,11.0,0.0,0.0,13.0,4.0,30.8,0.790707,2.33552
2026-04-25,Premier League,1,3,1,0,Aston Villa,39.0,13.0,6.0,46.2,10.0,1.0,10.0,1.24069,0.906156
2026-05-02,Premier League,0,0,0,3,Arsenal,46.0,10.0,1.0,10.0,18.0,9.0,50.0,0.696714,4.09079
2026-05-09,Premier League,1,0,0,1,Bournemouth,60.0,14.0,2.0,14.3,10.0,5.0,50.0,1.24334,0.998003
2026-05-17,Premier League,0,1,1,1,Wolves,69.0,13.0,5.0,38.5,11.0,3.0,27.3,1.48412,1.49725
2026-05-24,Premier League,1,3,2,0,Newcastle,46.0,21.0,6.0,28.6,7.0,2.0,28.6,1.72878,0.24232
2026-08-24,Premier League,1,0,2.0,3.0,Chelsea,62.0,14.0,6.0,42.9,18.0,6.0,33.3,1.41707,2.58384
