Date,Comp,Venue,Result,GF,GA,Opponent,Poss,Shots_For,SoT_For,SoT%_For,Shots_Against,SoT_Against,SoT%_Against,XG_for,XG_against,Poss_last3,Poss_last5,Shots_For_last3,Shots_For_last5,ShotsT_For_last3,ShotsT_For_last5,Shots_Against_last3,Shots_Against_last5,ShotsT_Against_last3,ShotsT_Against_last5,XG_for_last3,XG_for_last5,XG_against_last3,XG_against_last5,GF_last3,GF_last5,GA_last3,GA_last5,Result_last3,Result_last5,Home_Poss_last3,Away_Poss_last3,Home_XG_for_last3,Away_XG_for_last3,Home_XG_against_last3,Away_XG_against_last3,Home_Result_last3,Away_Result_last3,XG_Diff_last3,XG_Diff_last5,Goal_Diff_last3,Goal_Diff_last5,Home_XG_Diff_last3,Away_XG_Diff_last3,Home_Goal_Diff_last3,Away_Goal_Diff_last3
2025-08-16,Premier League,0,3,4.0,0.0,Wolves,59.0,15.0,4.0,26.7,9.0,3.0,33.3,2.29903,0.519436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-23,Premier League,1,0,0.0,2.0,Tottenham,61.0,10.0,4.0,40.0,12.0,5.0,41.7,1.2475,1.28015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-31,Premier League,0,0,1.0,2.0,Brighton,64.0,12.0,3.0,25.0,12.0,7.0,58.3,2.13418,2.20864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-14,Premier League,1,3,3.0,0.0,Manchester Utd,45.0,13.0,6.0,46.2,12.0,2.0,16.7,1.99725,1.51915,61.3333,,12.3333,,3.6667,,11.0,,5.0,,1.8936,,1.3361,,1.6667,,1.3333,,1.0,,,,,,,,,,0.5575,,0.3333,,,,,
2025-09-21,Premier League,0,1,1.0,1.0,Arsenal,33.0,5.0,3.0,60.0,12.0,3.0,25.0,1.1227,0.718575,56.6667,,11.6667,,4.3333,,12.0,,4.6667,,1.793,,1.6693,,1.3333,,1.3333,,1.0,,,,,,,,,,0.1237,,0.0,,,,,
2025-09-27,Premier League,1,3,5.0,1.0,Burnley,68.0,21.0,8.0,38.1,9.0,2.0,22.2,3.22133,0.509491,47.3333,52.4,10.0,11.0,4.0,4.0,12.0,4.0,4.0,11.4,1.7514,1.7601,1.4821,1.2492,1.6667,1.8,1.0,1.0,1.3333,1.4,,,,,,,,,0.2693,0.5109,0.6667,0.8,,,,
2025-10-05,Premier League,0,3,1.0,0.0,Brentford,70.0,10.0,4.0,40.0,6.0,1.0,16.7,1.09647,0.693758,48.6667,54.2,13.0,12.2,5.6667,4.8,11.0,3.8,2.3333,11.4,2.1138,1.9446,0.9157,1.2472,3.0,2.0,0.6667,1.2,2.3333,1.4,,52.0,,1.852,,1.1489,,1.3333,1.198,0.6974,2.3333,0.8,,0.7031,,1.0
2025-10-18,Premier League,1,3,2.0,0.0,Everton,71.0,19.0,7.0,36.8,5.0,1.0,20.0,2.4799,0.794622,57.0,56.0,12.0,12.2,5.0,4.8,9.0,3.0,2.0,10.2,1.8135,1.9144,0.6406,1.1299,2.3333,2.2,0.6667,0.8,2.3333,2.0,58.0,,2.1554,,1.1029,,2.0,,1.1729,0.7845,1.6667,1.4,1.0524,,1.6667,
2025-10-26,Premier League,0,0,0.0,1.0,Aston Villa,53.0,18.0,4.0,22.2,9.0,3.0,33.3,1.36914,0.843906,69.6667,57.4,16.6667,13.6,6.3333,5.6,6.6667,1.8,1.3333,8.8,2.2659,1.9835,0.666,0.8471,2.6667,2.4,0.3333,0.4,3.0,2.6,,55.6667,,1.4511,,1.207,,1.3333,1.5999,1.1364,2.3333,2.0,,0.2441,,0.0
2025-11-02,Premier League,1,3,3.0,1.0,Bournemouth,48.0,15.0,8.0,53.3,8.0,5.0,62.5,2.48999,0.899846,64.6667,59.0,15.6667,14.6,5.0,5.2,6.6667,2.0,1.6667,8.2,1.6485,1.8579,0.7774,0.7121,1.0,1.8,0.3333,0.6,2.0,2.0,61.3333,,2.5662,,0.9411,,3.0,,0.8711,1.1458,0.6667,1.2,1.6251,,3.0,
