Date,Comp,Venue,Result,GF,GA,Opponent,Poss,Shots_For,SoT_For,SoT%_For,Shots_Against,SoT_Against,SoT%_Against,XG_for,XG_against
2025-08-17,Premier League,1,0,0,1,Arsenal,61.0,22.0,7.0,31.8,9.0,3.0,33.3,1.37653,1.3304
2025-08-24,Premier League,0,1,1,1,Fulham,49.0,10.0,3.0,30.0,13.0,4.0,30.8,1.54603,1.65333
2025-08-30,Premier League,1,3,3,2,Burnley,62.0,26.0,6.0,23.1,6.0,3.0,50.0,4.02237,1.32618
2025-09-14,Premier League,0,0,0,3,Manchester City,55.0,12.0,2.0,16.7,13.0,6.0,46.2,1.51915,1.99725
2025-09-20,Premier League,1,3,2,1,Chelsea,41.0,11.0,4.0,36.4,5.0,1.0,20.0,1.34458,0.469843
2025-09-27,Premier League,0,0,1,3,Brentford,56.0,14.0,6.0,42.9,10.0,8.0,80.0,2.23609,2.78726
2025-10-04,Premier League,1,3,2,0,Sunderland,51.0,15.0,6.0,40.0,8.0,3.0,37.5,1.9298,0.807119
2025-10-19,Premier League,0,3,2,1,Liverpool,37.0,12.0,4.0,33.3,19.0,6.0,31.6,2.53117,2.60972
2025-10-25,Premier League,1,3,4,2,Brighton,43.0,13.0,9.0,69.2,17.0,5.0,29.4,1.96231,0.947154
2025-11-01,Premier League,0,1,2,2,Nottingham,59.0,18.0,7.0,38.9,17.0,3.0,17.6,0.91622,1.55066
2025-11-08,Premier League,0,1,2,2,Tottenham,45.0,5.0,2.0,40.0,10.0,4.0,40.0,0.820256,1.35532
2025-11-24,Premier League,1,0,0,1,Everton,70.0,25.0,6.0,24.0,3.0,1.0,33.3,2.2737,0.155063
2025-11-30,Premier League,0,3,2,1,Crystal Palace,57.0,14.0,6.0,42.9,14.0,3.0,21.4,1.47768,2.13561
2025-12-04,Premier League,1,1,1,1,West Ham,65.0,17.0,4.0,23.5,11.0,3.0,27.3,2.27674,1.36584
2025-12-08,Premier League,0,3,4,1,Wolves,64.0,27.0,10.0,37.0,8.0,2.0,25.0,4.04708,0.262147
2025-12-15,Premier League,1,1,4,4,Bournemouth,56.0,25.0,9.0,36.0,14.0,9.0,64.3,3.21204,2.35196
2025-12-21,Premier League,0,0,1,2,Aston Villa,57.0,15.0,6.0,40.0,12.0,4.0,33.3,1.30455,1.86917
2025-12-26,Premier League,1,3,1,0,Newcastle,33.0,9.0,3.0,33.3,16.0,3.0,18.8,0.940811,1.12998
2025-12-30,Premier League,1,1,1,1,Wolves,57.0,15.0,6.0,40.0,11.0,4.0,36.4,1.13306,1.21784
2026-01-04,Premier League,0,1,1,1,Leeds United,55.0,15.0,2.0,13.3,10.0,3.0,30.0,1.94781,0.970138
2026-01-07,Premier League,0,1,2,2,Burnley,65.0,30.0,10.0,33.3,7.0,1.0,14.3,2.52488,0.31971
2026-01-17,Premier League,1,3,2,0,Manchester City,32.0,11.0,7.0,63.6,7.0,1.0,14.3,3.07278,0.387015
2026-01-25,Premier League,0,3,3,2,Arsenal,43.0,10.0,3.0,30.0,15.0,4.0,26.7,0.640902,1.42411
2026-02-01,Premier League,1,3,3,2,Fulham,42.0,13.0,6.0,46.2,14.0,6.0,42.9,1.84362,1.71998
2026-02-07,Premier League,1,3,2,0,Tottenham,65.0,23.0,10.0,43.5,7.0,1.0,14.3,2.16576,0.593404
2026-02-10,Premier League,0,1,1,1,West Ham,65.0,9.0,3.0,33.3,7.0,3.0,42.9,0.735767,1.30746
2026-02-23,Premier League,0,3,1,0,Everton,52.0,11.0,3.0,27.3,12.0,4.0,33.3,1.4547,0.560924
2026-03-01,Premier League,1,3,2,1,Crystal Palace,61.0,20.0,11.0,55.0,8.0,3.0,37.5,2.34609,0.384699
2026-03-04,Premier League,0,0,1,2,Newcastle,55.0,14.0,5.0,35.7,12.0,5.0,41.7,1.80571,1.96637
2026-03-15,Premier League,1,3,3,1,Aston Villa,53.0,16.0,6.0,37.5,9.0,2.0,22.2,1.67823,1.21071
2026-03-20,Premier League,0,1,2,2,Bournemouth,45.0,14.0,5.0,35.7,16.0,5.0,31.3,1.74574,1.76664
2026-04-13,Premier League,1,0,1,2,Leeds United,52.0,20.0,9.0,45.0,15.0,6.0,40.0,1.36555,2.95118
2026-04-18,Premier League,0,3,1,0,Chelsea,40.0,4.0,1.0,25.0,21.0,3.0,14.3,0.436043,1.28109
2026-04-27,Premier League,1,3,2,1,Brentford,45.0,11.0,6.0,54.5,12.0,4.0,33.3,1.84852,1.30383
2026-05-03,Premier League,1,3,3,2,Liverpool,38.0,18.0,6.0,33.3,13.0,5.0,38.5,2.55612,1.02814
2026-05-09,Premier League,0,1,0,0,Sunderland,49.0,11.0,1.0,9.1,15.0,4.0,26.7,0.535981,1.2376
2026-05-17,Premier League,1,3,3,2,Nottingham,49.0,29.0,8.0,27.6,11.0,4.0,36.4,4.28532,1.84418
2026-05-24,Premier League,0,3,3,0,Brighton,49.0,11.0,7.0,63.6,13.0,2.0,15.4,2.32868,0.702398
2026-08-22,Premier League,0,0,0.0,2.0,Hull City,72.0,21.0,5.0,23.8,8.0,4.0,50.0,,
