Date,Comp,Venue,Result,GF,GA,Opponent,Poss,Shots_For,SoT_For,SoT%_For,Shots_Against,SoT_Against,SoT%_Against,XG_for,XG_against
2025-08-16,Premier League,0,1,0,0,Aston Villa,59.0,16.0,3.0,18.8,3.0,3.0,100.0,1.40098,0.318601
2025-08-25,Premier League,1,0,2,3,Liverpool,38.0,10.0,3.0,30.0,5.0,4.0,80.0,1.96342,0.646559
2025-08-30,Premier League,0,1,0,0,Leeds United,57.0,8.0,2.0,25.0,10.0,1.0,10.0,0.303635,0.6773
2025-09-13,Premier League,1,3,1,0,Wolves,57.0,16.0,4.0,25.0,8.0,3.0,37.5,1.19186,0.375942
2025-09-21,Premier League,0,1,0,0,Bournemouth,44.0,4.0,1.0,25.0,11.0,2.0,18.2,0.153629,0.55066
2025-09-28,Premier League,1,0,1,2,Arsenal,36.0,8.0,3.0,37.5,20.0,7.0,35.0,0.739851,2.07048
2025-10-05,Premier League,1,3,2,0,Nottingham,52.0,18.0,9.0,50.0,5.0,4.0,80.0,3.81662,0.337689
2025-10-18,Premier League,0,0,1,2,Brighton,54.0,16.0,3.0,18.8,13.0,5.0,38.5,1.28313,0.857104
2025-10-25,Premier League,1,3,2,1,Fulham,51.0,18.0,7.0,38.9,12.0,5.0,41.7,2.76806,1.52001
2025-11-02,Premier League,0,0,1,3,West Ham,62.0,12.0,4.0,33.3,15.0,9.0,60.0,0.523615,1.41383
2025-11-09,Premier League,0,0,1,3,Brentford,51.0,5.0,1.0,20.0,15.0,7.0,46.7,0.432277,2.73729
2025-11-22,Premier League,1,3,2,1,Manchester City,32.0,9.0,5.0,55.6,17.0,4.0,23.5,2.40555,2.45648
2025-11-29,Premier League,0,3,4,1,Everton,51.0,13.0,8.0,61.5,10.0,2.0,20.0,2.45882,1.01125
2025-12-02,Premier League,1,1,2,2,Tottenham,53.0,19.0,7.0,36.8,8.0,2.0,25.0,1.88558,1.05205
2025-12-06,Premier League,1,3,2,1,Burnley,69.0,17.0,7.0,41.2,9.0,3.0,33.3,1.80708,1.58375
2025-12-14,Premier League,0,0,0,1,Sunderland,54.0,6.0,2.0,33.3,5.0,1.0,20.0,0.169329,0.630045
2025-12-20,Premier League,1,1,2,2,Chelsea,47.0,11.0,5.0,45.5,13.0,4.0,30.8,2.87863,1.0261
2025-12-26,Premier League,0,0,0,1,Manchester Utd,67.0,16.0,3.0,18.8,9.0,3.0,33.3,1.12998,0.940811
2025-12-30,Premier League,0,3,3,1,Burnley,51.0,20.0,9.0,45.0,15.0,4.0,26.7,2.49248,1.32551
2026-01-04,Premier League,1,3,2,0,Crystal Palace,59.0,12.0,7.0,58.3,11.0,1.0,9.1,2.72764,1.27825
2026-01-07,Premier League,1,3,4,3,Leeds United,63.0,18.0,8.0,44.4,14.0,6.0,42.9,2.43495,2.35318
2026-01-18,Premier League,0,1,0,0,Wolves,66.0,12.0,2.0,16.7,6.0,2.0,33.3,0.813313,0.390216
2026-01-25,Premier League,1,0,0,2,Aston Villa,60.0,15.0,4.0,26.7,14.0,8.0,57.1,1.95484,1.32143
2026-01-31,Premier League,0,0,1,4,Liverpool,46.0,8.0,2.0,25.0,17.0,7.0,41.2,0.284319,3.09973
2026-02-07,Premier League,1,0,2,3,Brentford,54.0,16.0,4.0,25.0,11.0,5.0,45.5,3.3215,1.65022
2026-02-10,Premier League,0,3,2,1,Tottenham,47.0,21.0,5.0,23.8,16.0,2.0,12.5,2.46991,1.68925
2026-02-21,Premier League,0,0,1,2,Manchester City,45.0,13.0,7.0,53.8,15.0,7.0,46.7,0.507954,2.22648
2026-02-28,Premier League,1,0,2,3,Everton,66.0,17.0,7.0,41.2,9.0,5.0,55.6,1.11889,2.40731
2026-03-04,Premier League,1,3,2,1,Manchester Utd,45.0,12.0,5.0,41.7,14.0,5.0,35.7,1.96637,1.80571
2026-03-14,Premier League,0,3,1,0,Chelsea,33.0,7.0,5.0,71.4,22.0,3.0,13.6,1.03251,1.72508
2026-03-22,Premier League,1,0,1,2,Sunderland,60.0,16.0,4.0,25.0,17.0,7.0,41.2,1.26705,2.66657
2026-04-12,Premier League,0,0,1,2,Crystal Palace,59.0,7.0,3.0,42.9,11.0,5.0,45.5,1.27299,3.13933
2026-04-18,Premier League,1,0,1,2,Bournemouth,54.0,12.0,3.0,25.0,12.0,3.0,25.0,1.61167,3.36662
2026-04-25,Premier League,0,0,0,1,Arsenal,55.0,13.0,3.0,23.1,11.0,4.0,36.4,0.868897,0.639189
2026-05-02,Premier League,1,3,3,1,Brighton,33.0,13.0,6.0,46.2,13.0,4.0,30.8,3.12933,1.87112
2026-05-10,Premier League,0,1,1,1,Nottingham,54.0,16.0,6.0,37.5,17.0,6.0,35.3,1.65067,1.46434
2026-05-17,Premier League,1,3,3,1,West Ham,56.0,15.0,7.0,46.7,15.0,8.0,53.3,2.1336,0.957771
2026-05-24,Premier League,0,0,0,2,Fulham,54.0,7.0,2.0,28.6,21.0,6.0,28.6,0.24232,1.72878
2026-08-23,Premier League,1,1,2.0,2.0,Liverpool,39.0,13.0,4.0,30.8,27.0,7.0,25.9,1.59465,3.13133
