Date,Comp,Venue,Result,GF,GA,Opponent,Poss,Shots_For,SoT_For,SoT%_For,Shots_Against,SoT_Against,SoT%_Against,XG_for,XG_against
2025-08-17,Premier League,1,3,3,1,Brentford,55.0,11.0,5.0,45.5,10.0,3.0,30.0,1.7555,1.32516
2025-08-24,Premier League,0,1,1,1,Crystal Palace,58.0,9.0,1.0,11.1,8.0,4.0,50.0,1.32987,1.10188
2025-08-31,Premier League,1,0,0,3,West Ham,58.0,11.0,3.0,27.3,12.0,8.0,66.7,0.716018,2.236
2025-09-13,Premier League,0,0,0,3,Arsenal,46.0,5.0,1.0,20.0,16.0,5.0,31.3,0.293681,2.8817
2025-09-20,Premier League,0,1,1,1,Burnley,63.0,17.0,8.0,47.1,12.0,5.0,41.7,0.830779,1.14159
2025-09-27,Premier League,1,0,0,1,Sunderland,65.0,22.0,6.0,27.3,11.0,3.0,27.3,1.4203,1.94154
2025-10-05,Premier League,0,0,0,2,Newcastle,48.0,5.0,4.0,80.0,18.0,9.0,50.0,0.337689,3.81662
2025-10-18,Premier League,1,0,0,3,Chelsea,50.0,12.0,2.0,16.7,17.0,6.0,35.3,2.0555,2.5583
2025-10-26,Premier League,0,0,0,2,Bournemouth,48.0,8.0,4.0,50.0,13.0,5.0,38.5,0.305493,0.656601
2025-11-01,Premier League,1,1,2,2,Manchester Utd,41.0,17.0,3.0,17.6,18.0,7.0,38.9,1.55066,0.91622
2025-11-09,Premier League,1,3,3,1,Leeds United,46.0,14.0,6.0,42.9,10.0,3.0,30.0,2.49097,0.419461
2025-11-22,Premier League,0,3,3,0,Liverpool,26.0,15.0,7.0,46.7,21.0,4.0,19.0,1.19459,1.79273
2025-11-30,Premier League,1,0,0,2,Brighton,52.0,19.0,3.0,15.8,17.0,6.0,35.3,0.960325,2.0572
2025-12-03,Premier League,0,3,1,0,Wolves,51.0,10.0,3.0,30.0,5.0,1.0,20.0,1.12389,1.02461
2025-12-06,Premier League,0,0,0,3,Everton,59.0,7.0,3.0,42.9,11.0,5.0,45.5,0.31234,1.25348
2025-12-14,Premier League,1,3,3,0,Tottenham,48.0,15.0,6.0,40.0,6.0,1.0,16.7,2.32658,0.380246
2025-12-22,Premier League,0,0,0,1,Fulham,51.0,12.0,2.0,16.7,11.0,1.0,9.1,0.486296,1.70568
2025-12-27,Premier League,1,0,1,2,Manchester City,34.0,7.0,2.0,28.6,16.0,5.0,31.3,0.600141,1.46468
2025-12-30,Premier League,1,0,0,2,Everton,70.0,21.0,6.0,28.6,11.0,3.0,27.3,1.75445,1.69525
2026-01-03,Premier League,0,0,1,3,Aston Villa,27.0,10.0,5.0,50.0,11.0,4.0,36.4,0.8982,1.42988
2026-01-06,Premier League,0,3,2,1,West Ham,53.0,13.0,5.0,38.5,14.0,3.0,21.4,1.26683,1.73697
2026-01-17,Premier League,1,1,0,0,Arsenal,39.0,6.0,0.0,0.0,15.0,3.0,20.0,0.318481,2.86323
2026-01-25,Premier League,0,3,2,0,Brentford,34.0,7.0,2.0,28.6,10.0,1.0,10.0,1.38958,2.00413
2026-02-01,Premier League,1,1,1,1,Crystal Palace,33.0,9.0,1.0,11.1,14.0,3.0,21.4,0.987254,1.648
2026-02-06,Premier League,0,0,1,3,Leeds United,44.0,16.0,6.0,37.5,14.0,5.0,35.7,1.6608,3.38179
2026-02-11,Premier League,1,1,0,0,Wolves,63.0,35.0,10.0,28.6,7.0,3.0,42.9,3.69094,0.406959
2026-02-22,Premier League,1,0,0,1,Liverpool,47.0,18.0,2.0,11.1,10.0,4.0,40.0,0.934768,2.39634
2026-03-01,Premier League,0,0,1,2,Brighton,47.0,13.0,4.0,30.8,14.0,7.0,50.0,0.83055,1.20107
2026-03-04,Premier League,0,1,2,2,Manchester City,30.0,9.0,4.0,44.4,21.0,7.0,33.3,1.23642,2.72655
2026-03-15,Premier League,1,1,0,0,Fulham,46.0,11.0,2.0,18.2,5.0,0.0,0.0,0.821011,0.933988
2026-03-22,Premier League,0,3,3,0,Tottenham,42.0,8.0,7.0,87.5,14.0,3.0,21.4,1.54408,1.6189
2026-04-12,Premier League,1,1,1,1,Aston Villa,41.0,15.0,4.0,26.7,12.0,5.0,41.7,0.85045,1.36297
2026-04-19,Premier League,1,3,4,1,Burnley,51.0,10.0,4.0,40.0,4.0,3.0,75.0,1.4425,0.601418
2026-04-24,Premier League,0,3,5,0,Sunderland,39.0,10.0,6.0,60.0,14.0,4.0,28.6,1.54208,0.614323
2026-05-04,Premier League,0,3,3,1,Chelsea,33.0,6.0,4.0,66.7,21.0,5.0,23.8,2.31019,2.17132
2026-05-10,Premier League,1,1,1,1,Newcastle,46.0,17.0,6.0,35.3,16.0,6.0,37.5,1.46434,1.65067
2026-05-17,Premier League,0,0,2,3,Manchester Utd,51.0,11.0,4.0,36.4,29.0,8.0,27.6,1.84418,4.28532
2026-05-24,Premier League,1,1,1,1,Bournemouth,45.0,15.0,5.0,33.3,17.0,4.0,23.5,2.05852,1.33684
2026-08-22,Premier League,1,0,0.0,1.0,Leeds United,55.0,12.0,2.0,16.7,11.0,3.0,27.3,0.656681,0.466247
