Date,Comp,Venue,Result,GF,GA,Opponent,Poss,Shots_For,SoT_For,SoT%_For,Shots_Against,SoT_Against,SoT%_Against,XG_for,XG_against,Poss_last3,Poss_last5,Shots_For_last3,Shots_For_last5,ShotsT_For_last3,ShotsT_For_last5,Shots_Against_last3,Shots_Against_last5,ShotsT_Against_last3,ShotsT_Against_last5,XG_for_last3,XG_for_last5,XG_against_last3,XG_against_last5,GF_last3,GF_last5,GA_last3,GA_last5,Result_last3,Result_last5,Home_Poss_last3,Away_Poss_last3,Home_XG_for_last3,Away_XG_for_last3,Home_XG_against_last3,Away_XG_against_last3,Home_Result_last3,Away_Result_last3,XG_Diff_last3,XG_Diff_last5,Goal_Diff_last3,Goal_Diff_last5,Home_XG_Diff_last3,Away_XG_Diff_last3,Home_Goal_Diff_last3,Away_Goal_Diff_last3
2025-08-16,Premier League,1,3,3.0,0.0,West Ham,37.0,10.0,5.0,50.0,12.0,4.0,33.3,0.724368,0.558948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-23,Premier League,0,0,0.0,2.0,Burnley,57.0,9.0,1.0,11.1,7.0,2.0,28.6,1.12127,1.00381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-30,Premier League,1,3,2.0,1.0,Brentford,54.0,12.0,3.0,25.0,7.0,4.0,57.1,1.57127,1.44604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-13,Premier League,0,1,0.0,0.0,Crystal Palace,44.0,6.0,0.0,0.0,14.0,6.0,42.9,0.354129,1.75805,49.3333,,10.3333,,3.0,,8.6667,,3.3333,,1.139,,1.0029,,1.6667,,1.0,,2.0,,,,,,,,,,0.136,,0.6667,,,,,
2025-09-21,Premier League,1,1,1.0,1.0,Aston Villa,29.0,14.0,4.0,28.6,12.0,2.0,16.7,0.938312,0.939354,51.6667,,9.0,,1.3333,,9.3333,,4.0,,1.0156,,1.4026,,0.6667,,1.0,,1.3333,,,,,,,,,,-0.3871,,-0.3333,,,,,
2025-09-27,Premier League,0,3,1.0,0.0,Nottingham,35.0,11.0,3.0,27.3,22.0,6.0,27.3,1.94154,1.4203,42.3333,44.2,10.6667,10.2,2.3333,2.6,11.0,3.6,4.0,10.4,0.9546,0.9419,1.3811,1.1412,1.0,1.2,0.6667,0.8,1.6667,1.6,,,,,,,,,-0.4266,-0.1994,0.3333,0.4,,,,
2025-10-04,Premier League,0,0,0.0,2.0,Manchester Utd,49.0,8.0,3.0,37.5,15.0,6.0,40.0,0.807119,1.9298,36.0,43.8,10.3333,10.4,2.3333,2.2,16.0,4.0,4.6667,12.4,1.078,1.1853,1.3726,1.3135,0.6667,0.8,0.3333,0.8,1.6667,1.6,,45.3333,,1.139,,1.3941,,1.3333,-0.2946,-0.1282,0.3333,0.0,,-0.2551,,-0.3333
2025-10-18,Premier League,1,3,2.0,0.0,Wolves,41.0,8.0,2.0,25.0,16.0,3.0,18.8,1.02481,0.676323,37.6667,42.2,11.0,10.2,3.3333,2.6,16.3333,4.8,4.6667,14.0,1.229,1.1225,1.4298,1.4987,0.6667,0.8,1.0,0.8,1.3333,1.6,40.0,,1.078,,0.9814,,2.3333,,-0.2008,-0.3762,-0.3333,0.0,0.0965,,1.3333,
2025-10-25,Premier League,0,3,2.0,1.0,Chelsea,31.0,10.0,4.0,40.0,16.0,7.0,43.8,1.5506,1.21332,41.6667,39.6,9.0,9.4,2.6667,2.4,17.6667,4.6,5.0,15.8,1.2578,1.0132,1.3421,1.3448,1.0,0.8,0.6667,0.6,2.0,1.6,,42.6667,,1.0343,,1.7027,,1.3333,-0.0843,-0.3316,0.3333,0.2,,-0.6685,,-0.3333
2025-11-03,Premier League,1,1,1.0,1.0,Everton,61.0,17.0,3.0,17.6,8.0,2.0,25.0,1.18068,1.00741,40.3333,37.0,8.6667,10.2,3.0,3.2,15.6667,4.8,5.3333,16.2,1.1275,1.2525,1.2731,1.2358,1.3333,1.2,1.0,0.8,2.0,2.0,41.3333,,1.1781,,1.0206,,2.3333,,-0.1456,0.0167,0.3333,0.4,0.1576,,1.0,
2025-11-08,Premier League,1,1,2.0,2.0,Arsenal,35.0,6.0,2.0,33.3,17.0,7.0,41.2,1.20495,2.32943,44.3333,43.4,11.6667,10.8,3.0,3.0,13.3333,4.8,4.0,15.4,1.252,1.3009,0.9657,1.2494,1.6667,1.2,0.6667,0.8,2.3333,2.0,43.6667,,1.0479,,0.8744,,1.6667,,0.2863,0.0515,1.0,0.4,0.1736,,0.6667,
2025-11-22,Premier League,0,0,0.0,1.0,Fulham,43.0,4.0,2.0,50.0,24.0,6.0,25.0,0.222768,2.83729,42.3333,43.4,11.0,9.8,3.0,2.8,13.6667,5.0,5.3333,14.4,1.3121,1.1536,1.5167,1.4313,1.6667,1.4,1.3333,1.2,1.6667,1.6,,38.3333,,1.4331,,1.5211,,2.0,-0.2046,-0.2776,0.3333,0.2,,-0.0881,,0.0
2025-11-29,Premier League,1,3,3.0,2.0,Bournemouth,43.0,12.0,6.0,50.0,18.0,6.0,33.3,1.16955,1.79274,46.3333,42.2,9.0,9.0,2.3333,2.6,16.3333,5.0,5.0,16.2,0.8695,1.0368,2.058,1.6128,1.0,1.4,1.3333,1.0,0.6667,1.6,45.6667,,1.1368,,1.3377,,1.6667,,-1.1886,-0.576,-0.3333,0.4,-0.2009,,0.6667,
2025-12-03,Premier League,0,1,1.0,1.0,Liverpool,32.0,9.0,6.0,66.7,23.0,4.0,17.4,0.712662,1.37633,40.3333,42.6,7.3333,9.8,3.3333,3.4,19.6667,5.6,6.3333,16.6,0.8658,1.0657,2.3198,1.836,1.6667,1.6,1.6667,1.4,1.3333,1.6,,41.0,,0.8602,,1.9935,,1.0,-1.4541,-0.7703,0.0,0.2,,-1.1333,,-0.6667
2025-12-06,Premier League,0,0,0.0,3.0,Manchester City,37.0,8.0,1.0,12.5,18.0,6.0,33.3,0.626486,2.41605,39.3333,42.8,8.3333,9.6,4.6667,3.8,21.6667,5.0,5.3333,18.0,0.7017,0.8981,2.0021,1.8686,1.3333,1.4,1.3333,1.4,1.3333,1.2,,35.3333,,0.8287,,1.809,,1.3333,-1.3005,-0.9705,0.0,0.0,,-0.9803,,0.0
2025-12-14,Premier League,1,3,1.0,0.0,Newcastle,46.0,5.0,1.0,20.0,6.0,2.0,33.3,0.630045,0.169329,37.3333,38.0,9.6667,7.8,4.3333,3.4,19.6667,5.8,5.3333,20.0,0.8362,0.7873,1.8617,2.1504,1.3333,1.2,2.0,1.8,1.3333,1.0,46.3333,,1.1851,,1.7099,,1.6667,,-1.0255,-1.3631,-0.6667,-0.6,-0.5248,,0.3333,
2025-12-20,Premier League,0,1,0.0,0.0,Brighton,44.0,14.0,6.0,42.9,16.0,4.0,25.0,1.31044,0.919272,38.3333,40.2,7.3333,7.6,2.6667,3.2,15.6667,4.8,4.0,17.8,0.6564,0.6723,1.3206,1.7183,0.6667,1.0,1.3333,1.4,1.3333,1.4,,37.3333,,0.5206,,2.2099,,0.3333,-0.6642,-1.046,-0.6667,-0.4,,-1.6893,,-1.3333
2025-12-28,Premier League,1,1,1.0,1.0,Leeds United,43.0,8.0,3.0,37.5,17.0,6.0,35.3,0.805957,2.60653,42.3333,40.4,9.0,9.6,2.6667,4.0,13.3333,4.4,4.0,16.2,0.8557,0.8898,1.1682,1.3347,0.3333,1.0,1.0,1.2,1.3333,1.6,41.3333,,1.0015,,1.4305,,2.3333,,-0.3126,-0.4449,-0.6667,-0.2,-0.429,,0.6667,
2026-01-01,Premier League,1,1,0.0,0.0,Manchester City,32.0,10.0,4.0,40.0,14.0,4.0,28.6,0.962141,2.44247,44.3333,40.4,9.0,8.8,3.3333,3.4,13.0,4.4,4.0,16.0,0.9155,0.8171,1.2317,1.4975,0.6667,0.6,0.3333,1.0,1.6667,1.2,44.0,,0.8685,,1.5229,,2.3333,,-0.3162,-0.6804,0.3333,-0.4,-0.6543,,0.6667,
2026-01-04,Premier League,0,1,1.0,1.0,Tottenham,51.0,10.0,3.0,30.0,13.0,5.0,38.5,0.467481,1.4175,39.6667,40.4,10.6667,9.0,4.3333,3.0,15.6667,4.4,4.6667,14.2,1.0262,0.867,1.9894,1.7107,0.3333,0.4,0.3333,0.8,1.0,1.2,,37.6667,,0.8832,,1.5706,,0.6667,-0.9632,-0.8437,0.0,-0.4,,-0.6874,,-1.0
2026-01-07,Premier League,0,0,0.0,3.0,Brentford,49.0,11.0,3.0,27.3,18.0,6.0,33.3,1.50644,3.86096,42.0,43.2,9.3333,9.4,3.3333,3.4,14.6667,4.2,5.0,13.2,0.7452,0.8352,2.1555,1.511,0.6667,0.6,0.6667,0.4,1.0,1.4,,44.0,,0.8015,,1.5843,,0.6667,-1.4103,-0.6758,0.0,0.2,,-0.7828,,-1.0
2026-01-17,Premier League,1,3,2.0,1.0,Crystal Palace,59.0,13.0,7.0,53.8,6.0,2.0,33.3,1.84601,1.15169,44.0,43.8,10.3333,10.6,3.3333,3.8,15.0,5.0,5.0,15.6,0.9787,1.0105,2.5736,2.2493,0.3333,0.4,1.3333,1.0,0.6667,0.8,40.3333,,0.7994,,1.7394,,1.6667,,-1.595,-1.2389,-1.0,-0.6,-0.9401,,0.3333,
2026-01-24,Premier League,0,0,1.0,3.0,West Ham,53.0,7.0,2.0,28.6,13.0,5.0,38.5,0.713838,2.18675,53.0,46.8,11.3333,10.4,4.3333,4.0,12.3333,4.6,4.3333,13.6,1.2733,1.1176,2.1434,2.2958,1.0,0.8,1.6667,1.2,1.3333,1.2,,48.0,,1.0948,,2.0659,,0.6667,-0.8701,-1.1782,-0.6667,-0.4,,-0.9711,,-1.0
2026-02-02,Premier League,1,3,3.0,0.0,Burnley,44.0,14.0,5.0,35.7,5.0,0.0,0.0,1.8865,0.126371,53.6667,48.8,10.3333,10.2,4.0,3.8,12.3333,4.4,4.3333,12.8,1.3554,1.0992,2.3998,2.2119,1.0,0.8,2.3333,1.6,1.0,1.0,44.6667,,1.2047,,2.0669,,1.6667,,-1.0444,-1.1127,-1.3333,-0.8,-0.8622,,0.3333,
2026-02-07,Premier League,0,0,0.0,3.0,Arsenal,51.0,5.0,3.0,60.0,16.0,5.0,31.3,0.427225,1.19401,52.0,51.2,11.3333,11.0,4.6667,4.0,8.0,3.6,2.3333,11.0,1.4821,1.2841,1.1549,1.7487,2.0,1.4,1.3333,1.6,2.0,1.4,,51.0,,0.8959,,2.4884,,0.3333,0.3272,-0.4646,0.6667,-0.2,,-1.5925,,-1.6667
2026-02-11,Premier League,1,0,0.0,1.0,Liverpool,44.0,11.0,2.0,18.2,23.0,3.0,13.0,0.693794,3.08172,49.3333,51.2,8.6667,10.0,3.3333,4.0,11.3333,3.6,3.3333,11.6,1.0092,1.276,1.169,1.704,1.3333,1.2,2.0,2.0,1.0,1.2,45.0,,1.5649,,1.2402,,2.3333,,-0.1599,-0.428,-0.6667,-0.8,0.3247,,1.3333,
2026-02-22,Premier League,1,0,1.0,3.0,Fulham,53.0,12.0,2.0,16.7,12.0,4.0,33.3,1.7609,2.16696,46.3333,50.2,10.0,10.0,3.3333,3.8,14.6667,3.0,2.6667,12.6,1.0025,1.1135,1.4674,1.5481,1.0,1.2,1.3333,1.6,1.0,1.2,49.0,,1.4754,,1.4533,,2.0,,-0.4649,-0.4346,-0.3333,-0.4,0.0222,,1.0,
2026-02-28,Premier League,0,1,1.0,1.0,Bournemouth,38.0,8.0,4.0,50.0,21.0,5.0,23.8,1.07887,1.82434,49.3333,49.0,9.3333,9.8,2.3333,2.8,17.0,3.4,4.0,13.8,0.9606,1.0965,2.1476,1.7512,0.3333,1.0,2.3333,2.0,0.0,0.6,,51.0,,0.8825,,2.4139,,0.0,-1.1869,-0.6547,-2.0,-1.0,,-1.5314,,-2.6667
2026-03-03,Premier League,0,3,1.0,0.0,Leeds United,30.0,3.0,1.0,33.3,18.0,4.0,22.2,0.843856,0.888232,45.0,46.0,10.3333,10.0,2.6667,3.2,18.6667,3.4,4.0,15.4,1.1779,1.1695,2.3577,1.6787,0.6667,1.0,1.6667,1.6,0.3333,0.8,,47.3333,,0.74,,1.735,,0.3333,-1.1798,-0.5092,-1.0,-0.6,,-0.9951,,-1.6667
2026-03-14,Premier League,1,0,0.0,1.0,Brighton,47.0,14.0,4.0,28.6,12.0,4.0,33.3,0.659083,1.12832,40.3333,43.2,7.6667,7.8,2.3333,2.4,17.0,4.2,4.3333,18.0,1.2279,0.9609,1.6265,1.8311,1.0,0.6,1.3333,1.6,1.3333,0.8,47.0,,1.4471,,1.7917,,1.0,,-0.3986,-0.8701,-0.3333,-1.0,-0.3446,,0.0,
