Date,Comp,Venue,Result,GF,GA,Opponent,Poss,Shots_For,SoT_For,SoT%_For,Shots_Against,SoT_Against,SoT%_Against,XG_for,XG_against
2025-08-16,Premier League,1,3,3,0,Burnley,68.0,16.0,6.0,37.5,14.0,4.0,28.6,1.97858,0.734138
2025-08-23,Premier League,0,3,2,0,Manchester City,39.0,12.0,5.0,41.7,10.0,4.0,40.0,1.28015,1.2475
2025-08-30,Premier League,1,0,0,1,Bournemouth,62.0,5.0,1.0,20.0,20.0,6.0,30.0,0.17067,2.1201
2025-09-13,Premier League,0,3,3,0,West Ham,64.0,14.0,5.0,35.7,7.0,4.0,57.1,1.51402,0.793248
2025-09-20,Premier League,0,1,2,2,Brighton,64.0,11.0,3.0,27.3,12.0,4.0,33.3,1.19181,1.40466
2025-09-27,Premier League,1,1,1,1,Wolves,51.0,10.0,3.0,30.0,9.0,3.0,33.3,0.818711,1.15951
2025-10-04,Premier League,0,3,2,1,Leeds United,44.0,9.0,3.0,33.3,16.0,4.0,25.0,0.688198,1.48051
2025-10-19,Premier League,1,0,1,2,Aston Villa,53.0,9.0,3.0,33.3,8.0,2.0,25.0,1.51461,0.352231
2025-10-26,Premier League,0,3,3,0,Everton,47.0,7.0,4.0,57.1,12.0,2.0,16.7,2.09327,1.4032
2025-11-01,Premier League,1,0,0,1,Chelsea,48.0,3.0,1.0,33.3,15.0,9.0,60.0,0.146954,3.34251
2025-11-08,Premier League,1,1,2,2,Manchester Utd,55.0,10.0,4.0,40.0,5.0,2.0,40.0,1.35532,0.820256
2025-11-23,Premier League,0,0,1,4,Arsenal,43.0,3.0,2.0,66.7,17.0,8.0,47.1,0.0300672,2.27827
2025-11-29,Premier League,1,0,1,2,Fulham,63.0,14.0,2.0,14.3,7.0,3.0,42.9,1.04396,0.494736
2025-12-02,Premier League,0,1,2,2,Newcastle,47.0,8.0,2.0,25.0,19.0,7.0,36.8,1.05205,1.88558
2025-12-06,Premier League,1,3,2,0,Brentford,53.0,15.0,7.0,46.7,4.0,1.0,25.0,2.42388,0.470563
2025-12-14,Premier League,0,0,0,3,Nottingham,52.0,6.0,1.0,16.7,15.0,6.0,40.0,0.380246,2.32658
2025-12-20,Premier League,1,0,1,2,Liverpool,35.0,15.0,4.0,26.7,8.0,4.0,50.0,1.34905,1.23164
2025-12-28,Premier League,0,3,1,0,Crystal Palace,38.0,8.0,4.0,50.0,15.0,2.0,13.3,0.870768,0.929681
2026-01-01,Premier League,0,1,0,0,Brentford,44.0,9.0,3.0,33.3,7.0,2.0,28.6,0.608309,0.556304
2026-01-04,Premier League,1,1,1,1,Sunderland,49.0,13.0,5.0,38.5,10.0,3.0,30.0,1.4175,0.467481
2026-01-07,Premier League,0,0,2,3,Bournemouth,58.0,16.0,4.0,25.0,11.0,3.0,27.3,1.6261,1.19014
2026-01-17,Premier League,1,0,1,2,West Ham,62.0,21.0,6.0,28.6,17.0,4.0,23.5,1.65292,2.76761
2026-01-24,Premier League,0,1,2,2,Burnley,63.0,18.0,11.0,61.1,9.0,4.0,44.4,2.59093,1.54884
2026-02-01,Premier League,1,1,2,2,Manchester City,39.0,12.0,6.0,50.0,15.0,3.0,20.0,1.49738,2.03614
2026-02-07,Premier League,0,0,0,2,Manchester Utd,35.0,7.0,1.0,14.3,23.0,10.0,43.5,0.593404,2.16576
2026-02-10,Premier League,1,0,1,2,Newcastle,53.0,16.0,2.0,12.5,21.0,5.0,23.8,1.68925,2.46991
2026-02-22,Premier League,1,0,1,4,Arsenal,39.0,6.0,5.0,83.3,20.0,7.0,35.0,0.383264,3.31701
2026-03-01,Premier League,0,0,1,2,Fulham,46.0,13.0,1.0,7.7,18.0,4.0,22.2,0.952091,2.3207
2026-03-05,Premier League,1,0,1,3,Crystal Palace,40.0,12.0,4.0,33.3,9.0,4.0,44.4,1.29615,1.91515
2026-03-15,Premier League,0,1,1,1,Liverpool,37.0,13.0,7.0,53.8,17.0,4.0,23.5,1.15636,1.30076
2026-03-22,Premier League,1,0,0,3,Nottingham,58.0,14.0,3.0,21.4,8.0,7.0,87.5,1.6189,1.54408
2026-04-12,Premier League,0,0,0,1,Sunderland,48.0,11.0,7.0,63.6,13.0,2.0,15.4,1.01598,1.77584
2026-04-18,Premier League,1,1,2,2,Brighton,42.0,13.0,6.0,46.2,10.0,3.0,30.0,1.56052,1.1373
2026-04-25,Premier League,0,3,1,0,Wolves,59.0,11.0,2.0,18.2,11.0,2.0,18.2,1.06403,0.762656
2026-05-03,Premier League,0,3,2,1,Aston Villa,55.0,10.0,5.0,50.0,5.0,1.0,20.0,1.12225,0.609494
2026-05-11,Premier League,1,1,1,1,Leeds United,57.0,16.0,3.0,18.8,11.0,4.0,36.4,1.49036,1.86976
2026-05-19,Premier League,0,0,1,2,Chelsea,56.0,9.0,3.0,33.3,9.0,4.0,44.4,2.15227,1.09262
2026-05-24,Premier League,1,3,1,0,Everton,50.0,20.0,2.0,10.0,10.0,1.0,10.0,1.40597,0.268476
2026-08-22,Premier League,0,0,0.0,3.0,Brentford,59.0,9.0,4.0,44.4,26.0,8.0,30.8,0.756284,4.04155
